gene_id,chr,start,end,gene_name,length
ENSG00000115677.16,chr2,241227264,241317061,HDLBP,89797
ENSG00000236296.7,chr4,143559472,143649305,GUSBP5,89833
ENSG00000138592.13,chr15,50424380,50514419,USP8,90039
ENSG00000095787.21,chr10,28532744,28623112,WAC,90368
ENSG00000226124.6,chr2,199760544,199851173,FTCDNL1,90629
ENSG00000120675.5,chr13,43023203,43114224,DNAJC15,91021
ENSG00000115750.16,chr2,9843354,9934416,TAF1B,91062
ENSG00000065060.16,chr6,34792015,34883138,UHRF1BP1,91123
ENSG00000106392.10,chr7,7156934,7248651,C1GALT1,91717
ENSG00000119471.14,chr9,112379937,112472410,HSDL2,92473
ENSG00000219626.8,chr2,24076526,24169640,FAM228B,93114
ENSG00000168297.15,chr3,58332880,58426126,PXK,93246
ENSG00000263327.6,chr4,16226685,16320140,TAPT1-AS1,93455
ENSG00000064933.17,chr2,189784085,189877629,PMS1,93544
ENSG00000163393.12,chr1,115976498,116070054,SLC22A15,93556
ENSG00000107290.13,chr9,132261356,132354985,SETX,93629
ENSG00000169641.13,chr1,23084023,23177808,LUZP1,93785
ENSG00000101413.11,chr20,38033546,38127386,RPRD1B,93840
ENSG00000138621.11,chr15,75023555,75117462,PPCDC,93907
ENSG00000151690.14,chr2,190408355,190502315,MFSD6,93960
ENSG00000275066.4,chr17,37514797,37609496,SYNRG,94699
ENSG00000206149.10,chr15,28590189,28685264,HERC2P9,95075
ENSG00000114544.16,chr3,126006355,126101561,SLC41A3,95206
ENSG00000165650.11,chr10,117279431,117375467,PDZD8,96036
ENSG00000100181.22,chr22,16601887,16698742,TPTEP1,96855
ENSG00000245958.6,chr4,119454791,119552025,RP11-33B1.1,97234
ENSG00000247572.7,chr5,81204084,81301560,CKMT2-AS1,97476
ENSG00000138658.15,chr4,112539333,112636963,ZGRF1,97630
ENSG00000080345.17,chr2,151409883,151508004,RIF1,98121
ENSG00000167077.12,chr22,41699499,41799456,MEI1,99957
ENSG00000126870.15,chr7,158856578,158956747,WDR60,100169
ENSG00000141279.15,chr17,47522942,47623276,NPEPPS,100334
ENSG00000078070.12,chr3,183015218,183116075,MCCC1,100857
ENSG00000104450.12,chr8,100157906,100259278,SPAG1,101372
ENSG00000054219.10,chr2,159803355,159904749,LY75,101394
ENSG00000078177.13,chr4,40056826,40158252,N4BP2,101426
ENSG00000128829.11,chr15,39934146,40035591,EIF2AK4,101445
ENSG00000134014.16,chr8,28089673,28191156,ELP3,101483
ENSG00000187535.13,chr16,1510458,1612110,IFT140,101652
ENSG00000099968.17,chr22,17628855,17730855,BCL2L13,102000
ENSG00000175643.8,chr16,11249649,11351762,RMI2,102113
ENSG00000089916.17,chr14,76151916,76254342,GPATCH2L,102426
ENSG00000164715.5,chr7,98106885,98209633,LMTK2,102748
ENSG00000127947.15,chr7,77537275,77640071,PTPN12,102796
ENSG00000182993.3,chr12,14803572,14906586,C12orf60,103014
ENSG00000263001.5,chr7,74657667,74760692,GTF2I,103025
ENSG00000143183.16,chr1,165724293,165827530,TMCO1,103237
ENSG00000095397.13,chr9,114402080,114505450,WHRN,103370
ENSG00000083097.14,chr6,83067666,83171350,DOPEY1,103684
ENSG00000006530.15,chr7,141551305,141655244,AGK,103939
ENSG00000112992.16,chr5,43602692,43707405,NNT,104713
ENSG00000175170.14,chr20,25763466,25868225,FAM182B,104759
ENSG00000106771.12,chr9,109015152,109119945,TMEM245,104793
ENSG00000138777.19,chr4,105369077,105474081,PPA2,105004
ENSG00000156042.17,chr10,73253759,73358859,CFAP70,105100
ENSG00000165219.21,chr9,125261794,125367207,GAPVD1,105413
ENSG00000171853.15,chr2,3379675,3485094,TRAPPC12,105419
ENSG00000057019.15,chr3,98795941,98901689,DCBLD2,105748
ENSG00000104388.14,chr8,60516857,60623627,RAB2A,106770
ENSG00000078674.17,chr8,17922840,18029944,PCM1,107104
ENSG00000205464.11,chr5,82279462,82386977,ATP6AP1L,107515
ENSG00000108395.13,chr17,58998200,59106597,TRIM37,108397
ENSG00000116874.11,chr1,119031216,119140395,WARS2,109179
ENSG00000170035.15,chr2,180967248,181076537,UBE2E3,109289
ENSG00000261824.6,chr19,27684580,27793894,LINC00662,109314
ENSG00000173852.14,chr7,34928876,35038271,DPY19L1,109395
ENSG00000006453.13,chr7,98291651,98401068,BAIAP2L1,109417
