gene_id,chr,start,end,gene_name,length
ENSG00000169474.4,chr1,152985231,152985500,SPRR1A,269
ENSG00000263968.2,chr16,85659378,85659675,RN7SL381P,297
ENSG00000230734.1,chr9,117180628,117181065,RPL10P3,437
ENSG00000269680.1,chr19,6748293,6748871,CTD-3128G10.6,578
ENSG00000213326.4,chr17,46721582,46722167,RPS7P11,585
ENSG00000271971.1,chr8,93715378,93716113,CTD-2006H14.2,735
ENSG00000229598.1,chr22,38722743,38723505,PRDX3P1,762
ENSG00000277369.1,chr16,11797468,11798275,RP11-486I11.2,807
ENSG00000186105.7,chr5,62579484,62580453,LRRC70,969
ENSG00000250474.2,chr7,107628553,107629550,WBP1LP2,997
ENSG00000203667.9,chr1,244835322,244836520,COX20,1198
ENSG00000180610.10,chr4,39770081,39771371,ZBTB12BP,1290
ENSG00000224066.1,chr1,32205498,32206814,RP4-622L5.7,1316
ENSG00000185031.6,chr1,64984608,64986087,SLC2A3P2,1479
ENSG00000271327.1,chr12,89367807,89369301,RP11-1109F11.3,1494
ENSG00000186222.4,chr4,6716055,6717671,BLOC1S4,1616
ENSG00000167656.4,chr8,142784880,142786592,LY6D,1712
ENSG00000241370.5,chr6,30345131,30346884,RPP21,1753
ENSG00000111046.3,chr12,80707498,80709474,MYF6,1976
ENSG00000170161.6,chr9,62898088,62900104,RP11-262H14.4,2016
ENSG00000258260.1,chr12,56267941,56270104,RP11-977G19.14,2163
ENSG00000173762.7,chr17,82314868,82317602,CD7,2734
ENSG00000092010.14,chr14,24136158,24138964,PSME1,2806
ENSG00000245105.2,chr12,9065177,9068060,A2M-AS1,2883
ENSG00000166091.19,chr14,23376808,23379772,CMTM5,2964
ENSG00000184524.5,chr11,787104,790123,CEND1,3019
ENSG00000273604.1,chr17,38671703,38675421,EPOP,3718
ENSG00000254703.2,chr11,128691672,128696023,SENCR,4351
ENSG00000284048.1,chr7,150405289,150410249,RP11-511P7.6,4960
ENSG00000101189.6,chr20,62796453,62801738,MRGBP,5285
ENSG00000124172.9,chr20,59026655,59032382,ATP5E,5727
ENSG00000204564.11,chr6,30647039,30653118,C6orf136,6079
ENSG00000215417.12,chr13,91347820,91354579,MIR17HG,6759
ENSG00000243753.5,chr6,30259584,30266951,HLA-L,7367
ENSG00000162630.5,chr1,193179045,193186654,B3GALT2,7609
ENSG00000197483.9,chr19,55476483,55484487,ZNF628,8004
ENSG00000204568.11,chr6,30617709,30626395,MRPS18B,8686
ENSG00000067082.14,chr10,3775996,3785281,KLF6,9285
ENSG00000133321.10,chr11,63536809,63546462,RARRES3,9653
ENSG00000122406.12,chr1,92832025,92841924,RPL5,9899
ENSG00000170881.4,chr8,124474738,124487914,RNF139,13176
ENSG00000131876.16,chr15,101281510,101295255,SNRPA1,13745
ENSG00000260898.5,chr15,72782835,72798199,ADPGK-AS1,15364
ENSG00000105647.16,chr19,18153118,18170540,PIK3R2,17422
ENSG00000226210.3,chr12,14522,32015,ABC7-42389800N19.1,17493
ENSG00000008323.15,chr12,6310436,6328506,PLEKHG6,18070
ENSG00000139726.10,chr12,122752774,122771064,DENR,18290
ENSG00000168067.11,chr11,64784914,64803241,MAP4K2,18327
ENSG00000214193.10,chr1,36306387,36324886,SH3D21,18499
ENSG00000149930.17,chr16,29973641,29992261,TAOK2,18620
ENSG00000059915.16,chr10,102402617,102421539,PSD,18922
ENSG00000166797.10,chr15,64072559,64094018,FAM96A,21459
ENSG00000282826.1,chr20,28580709,28602664,FRG1CP,21955
ENSG00000104147.8,chr15,41309738,41332621,OIP5,22883
ENSG00000130349.9,chr6,107028213,107051342,C6orf203,23129
ENSG00000121903.14,chr1,33472645,33496507,ZSCAN20,23862
ENSG00000099364.16,chr16,30924097,30948783,FBXL19,24686
ENSG00000260409.1,chr15,20729747,20756183,RP11-403B2.7,26436
ENSG00000071539.13,chr5,892825,919357,TRIP13,26532
ENSG00000130935.9,chr17,67717833,67744531,NOL11,26698
ENSG00000080031.9,chr19,55181248,55209506,PTPRH,28258
ENSG00000139718.10,chr12,121804180,121832584,SETD1B,28404
ENSG00000139182.13,chr12,7130253,7158945,CLSTN3,28692
ENSG00000205571.13,chr5,70049612,70078522,SMN2,28910
ENSG00000139197.10,chr12,7188685,7218574,PEX5,29889
ENSG00000100813.14,chr14,23058564,23093544,ACIN1,34980
ENSG00000140488.15,chr15,72284727,72320129,CELF6,35402
ENSG00000187187.13,chr19,39984134,40021041,ZNF546,36907
ENSG00000213341.10,chr10,100188335,100229619,CHUK,41284
ENSG00000198223.16,chrX,1268800,1310381,CSF2RA,41581
ENSG00000176624.10,chr18,51174550,51218304,MEX3C,43754
ENSG00000223773.7,chrX,2609348,2657229,CD99P1,47881
ENSG00000116017.10,chr19,925781,975934,ARID3A,50153
ENSG00000088727.12,chr3,47228026,47283451,KIF9,55425
ENSG00000137198.9,chr6,16238580,16295549,GMPR,56969
ENSG00000139187.9,chr12,8950044,9010760,KLRG1,60716
ENSG00000196865.4,chr10,113854661,113917194,NHLRC2,62533
ENSG00000124343.12,chrX,2752050,2815927,XG,63877
ENSG00000274349.4,chr9,66856426,66932141,ZNF658,75715
ENSG00000170142.11,chr3,23805903,23891316,UBE2E1,85413
ENSG00000163359.15,chr2,237324003,237414375,COL6A3,90372
ENSG00000205213.13,chr11,27365961,27472775,LGR4,106814
ENSG00000103647.12,chr15,68578969,68727806,CORO2B,148837
ENSG00000283390.1,chr3,186596976,186597200,RP11-134F2.7,224
ENSG00000212443.1,chr12,98599635,98599883,SNORA53,248
ENSG00000269981.1,chr1,137682,137965,RP11-34P13.16,283
ENSG00000185641.6,chr5,116051917,116052289,CTD-2287O16.1,372
ENSG00000240793.1,chr16,48334471,48334854,UBA52P8,383
ENSG00000214535.3,chr20,21166206,21166596,RPS15AP1,390
ENSG00000219023.1,chr6,35555873,35556264,RP3-340B19.2,391
